"FIPS","AllRace_Total","AllRace_50-","AllRace_50-65","AllRace_65+","AllRace_Male","AllRace_Male_50-","AllRace_Male_50-65","AllRace_Male_65+","AllRace_Female","AllRace_Female_50-","AllRace_Female_50-65","AllRace_Female_65+","W_Total","W_50-","W_50-65","W_65+","W_Male","W_Male_50-","W_Male_50-65","W_Male_65+","W_Female","W_Female_50-","W_Female_50-65","W_Female_65+","B_Total","B_50-","B_50-65","B_65+","B_Male","B_Male_50-","B_Male_50-65","B_Male_65+","B_Female","B_Female_50-","B_Female_50-65","B_Female_65+","I_Total","I_50-","I_50-65","I_65+","I_Male","I_Male_50-","I_Male_50-65","I_Male_65+","I_Female","I_Female_50-","I_Female_50-65","I_Female_65+","A_Total","A_50-","A_50-65","A_65+","A_Male","A_Male_50-","A_Male_50-65","A_Male_65+","A_Female","A_Female_50-","A_Female_50-65","A_Female_65+","H_Total","H_50-","H_50-65","H_65+","H_Male","H_Male_50-","H_Male_50-65","H_Male_65+","H_Female","H_Female_50-","H_Female_50-65","H_Female_65+","O_Total","O_50-","O_50-65","O_65+","O_Male","O_Male_50-","O_Male_50-65","O_Male_65+","O_Female","O_Female_50-","O_Female_50-65","O_Female_65+"
"34",9288994,5862454,1841886,1333070,4518705,2931227,920943,666535,4770289,2911301,994224,864764,4816381,2636512,1119626,953742,2354940,1318256,559813,476871,2461441,1276836,582069,602536,1154142,750846,211848,118578,540636,375423,105924,59289,613506,393187,128069,92250,11206,7526,2248,1542,5658,3763,1124,771,5548,3529,1121,898,942921,656362,161602,98844,458404,328181,80801,49422,484517,336370,89417,58730,2002575,1533676,297626,137248,984275,766838,148813,68624,1018300,759530,164272,94498,361769,277532,48936,23116,174792,138766,24468,11558,186977,141849,29276,15852
"35",2117522,1336718,391946,359648,1044156,668359,195973,179824,1073366,651201,210782,211383,772952,383732,174004,210206,383971,191866,87002,105103,388981,179418,91199,118364,38330,28962,8460,5650,21536,14481,4230,2825,16794,10839,3230,2725,188610,133858,29476,17632,90483,66929,14738,8816,98127,68059,17393,12675,35261,22598,5614,3508,15860,11299,2807,1754,19401,12671,3912,2818,1010811,716974,162930,114006,496955,358487,81465,57003,513856,355735,88417,69704,71558,50594,11462,8646,35351,25297,5731,4323,36207,24479,6631,5097
"36",20201249,12735580,3848562,2956580,9770361,6367790,1924281,1478290,10430888,6405164,2095548,1930176,10598907,6060670,2280242,2038668,5189790,3030335,1140121,1019334,5409117,2966503,1173043,1269571,2759022,1758322,506414,299426,1282081,879161,253207,149713,1476941,928655,309774,238512,54908,36446,11348,6474,27134,18223,5674,3237,27774,17545,6007,4222,1916329,1280824,329312,223364,916750,640412,164656,111682,999579,677256,188305,134018,3948032,2915874,590948,316934,1911878,1457937,295474,158467,2036154,1459355,340780,236019,924051,683444,130298,71714,442728,341722,65149,35857,481323,355850,77639,47834
"37",10439388,6602410,1955108,1577182,5067350,3301205,977554,788591,5372038,3309414,1061767,1000857,6312148,3597732,1338690,1229416,3082919,1798866,669345,614708,3229229,1767119,706604,755506,2107526,1344038,376964,241744,981373,672019,188482,120872,1126153,723258,226238,176657,100886,65374,19226,12882,48741,32687,9613,6441,52145,33246,10694,8205,340059,257150,45690,23386,163113,128575,22845,11693,176946,134466,26572,15908,1118596,980086,119694,41638,570709,490043,59847,20819,547887,464634,57795,25458,460173,358030,54844,28116,220495,179015,27422,14058,239678,186691,33864,19123
"38",779094,540664,140170,115304,398069,270332,70085,57652,381025,247534,67723,65768,636160,415144,124642,109116,324451,207572,62321,54558,311709,189730,60155,61824,26152,25402,2730,624,14378,12701,1365,312,11774,10520,919,335,37350,29552,5046,2310,18454,14776,2523,1155,18896,14605,2770,1521,13050,10404,1324,680,6204,5202,662,340,6846,5564,887,395,33412,31102,3060,1138,17650,15551,1530,569,15762,13595,1320,847,32970,29060,3368,1436,16932,14530,1684,718,16038,13520,1672,846
"39",11799448,7365844,2313920,1883472,5781618,3682922,1156960,941736,6017830,3626858,1213971,1177001,8954135,5272960,1894688,1638810,4403229,2636480,947344,819405,4550906,2562850,979178,1008878,1457180,989900,247750,155158,696404,494950,123875,77579,760776,509893,140074,110809,18949,11616,4846,2646,9554,5808,2423,1323,9395,5602,2314,1479,296604,221876,39910,23650,142718,110938,19955,11825,153886,115476,23016,15394,521308,437548,58420,29750,262859,218774,29210,14875,258449,210267,30149,18033,551272,431944,68306,33458,266854,215972,34153,16729,284418,222770,39240,22408
"40",3959353,2626390,707906,588962,1961629,1313195,353953,294481,1997724,1269311,369816,358597,2407188,1411680,494510,468220,1187205,705840,247255,234110,1219983,679670,256466,283847,283242,206868,50168,29188,143112,103434,25084,14594,140130,95819,25618,18693,311890,225240,50824,32506,154285,112620,25412,16253,157605,110151,27600,19854,89653,64096,13176,6802,42037,32048,6588,3401,47616,33872,8301,5443,471931,414170,51218,20032,242710,207085,25609,10016,229221,194240,24135,10846,395449,304336,48010,32214,192280,152168,24005,16107,203169,155559,27696,19914
"41",4237256,2694656,769170,731174,2097500,1347328,384585,365587,2139756,1306860,403375,429521,3036158,1749096,606002,644578,1499838,874548,303001,322289,1536320,841987,317244,377089,78658,62798,14908,7772,42739,31399,7454,3886,35919,26055,5832,4032,42042,28144,8156,5412,20856,14072,4078,2706,21186,13581,4385,3220,191797,127688,30166,18628,88241,63844,15083,9314,103556,70777,19342,13437,588757,500136,69400,28316,298926,250068,34700,14158,289831,240618,33156,16057,299844,226794,40538,26468,146900,113397,20269,13234,152944,113842,23416,15686
"42",13002700,7892932,2625096,2206686,6362357,3946466,1312548,1103343,6640343,3886929,1373703,1379711,9553417,5344810,2110806,1920558,4688087,2672405,1055403,960279,4865330,2594474,1086931,1183925,1368978,922092,242262,146100,655227,461046,121131,73050,713751,468678,137174,107899,15028,9330,3528,2054,7456,4665,1764,1027,7572,4486,1800,1286,506674,366680,74296,45962,243469,183340,37148,22981,263205,193129,42021,28055,1049615,850188,130980,60408,520788,425094,65490,30204,528827,420698,69644,38485,508988,399832,63224,31604,247330,199916,31612,15802,261658,205464,36133,20061
"44",1097379,666088,220512,176860,531730,333044,110256,88430,565649,333429,120189,112031,754050,401742,173712,153710,364582,200871,86856,76855,389468,199057,93500,96911,55386,40872,9500,4886,27629,20436,4750,2443,27757,19904,4720,3133,3513,2196,640,482,1659,1098,320,241,1854,1199,380,275,38367,28540,5248,3156,18472,14270,2624,1578,19895,15141,2937,1817,182101,144552,22618,10182,88676,72276,11309,5091,93425,73012,13468,6945,63962,48186,8794,4444,30712,24093,4397,2222,33250,25116,5184,2950
"45",5118425,3113328,964460,869728,2473758,1556664,482230,434864,2644667,1574355,533225,537087,3178552,1774658,657700,669058,1550708,887329,328850,334529,1627844,880958,351041,395845,1269031,796984,224358,158336,589839,398492,112179,79168,679192,429413,136513,113266,16591,10414,3840,2166,8210,5207,1920,1083,8381,5051,2031,1299,89394,62150,13040,7900,41545,31075,6520,3950,47849,33430,8523,5896,352838,307196,38970,17560,181863,153598,19485,8780,170975,141317,18898,10760,212019,161926,26552,14708,101593,80963,13276,7354,110426,84186,16219,10021
"46",886667,582348,163248,145948,445772,291174,81624,72974,440895,275496,81782,83617,705583,427976,142212,136372,353280,213988,71106,68186,352303,203507,71141,77655,17441,16908,2214,698,9910,8454,1107,349,7531,6651,638,242,74595,60272,9588,4482,37171,30136,4794,2241,37424,29193,5082,3149,13332,10730,1456,594,6390,5365,728,297,6942,5442,1028,472,38741,35458,3802,1592,20426,17729,1901,796,18315,15798,1700,817,36975,31004,3976,2210,18595,15502,1988,1105,18380,14905,2193,1282
"47",6910840,4381446,1299580,1051774,3366400,2190723,649790,525887,3544440,2192733,698023,653684,4900246,2894984,1005688,892514,2396593,1447492,502844,446257,2503653,1433323,528231,542099,1083772,726868,182914,107020,508401,363434,91457,53510,575371,387522,109994,77855,15539,9234,4030,2200,7732,4617,2015,1100,7807,4644,1983,1180,134302,97146,18612,9856,62807,48573,9306,4928,71495,52757,11719,7019,479187,431452,47014,17804,248135,215726,23507,8902,231052,198636,21775,10641,297794,221762,41322,22380,142732,110881,20661,11190,155062,115851,24321,14890
