"FIPS","AllRace_Total","AllRace_50-","AllRace_50-65","AllRace_65+","AllRace_Male","AllRace_Male_50-","AllRace_Male_50-65","AllRace_Male_65+","AllRace_Female","AllRace_Female_50-","AllRace_Female_50-65","AllRace_Female_65+","W_Total","W_50-","W_50-65","W_65+","W_Male","W_Male_50-","W_Male_50-65","W_Male_65+","W_Female","W_Female_50-","W_Female_50-65","W_Female_65+","B_Total","B_50-","B_50-65","B_65+","B_Male","B_Male_50-","B_Male_50-65","B_Male_65+","B_Female","B_Female_50-","B_Female_50-65","B_Female_65+","I_Total","I_50-","I_50-65","I_65+","I_Male","I_Male_50-","I_Male_50-65","I_Male_65+","I_Female","I_Female_50-","I_Female_50-65","I_Female_65+","A_Total","A_50-","A_50-65","A_65+","A_Male","A_Male_50-","A_Male_50-65","A_Male_65+","A_Female","A_Female_50-","A_Female_50-65","A_Female_65+","H_Total","H_50-","H_50-65","H_65+","H_Male","H_Male_50-","H_Male_50-65","H_Male_65+","H_Female","H_Female_50-","H_Female_50-65","H_Female_65+","O_Total","O_50-","O_50-65","O_65+","O_Male","O_Male_50-","O_Male_50-65","O_Male_65+","O_Female","O_Female_50-","O_Female_50-65","O_Female_65+"
"13",54354,7123,17775,29456,28195,2659,9388,16148,26159,4464,8387,13308,36219,3944,10984,21291,19098,1515,5781,11802,17121,2429,5202,9489,14687,2207,5646,6834,7485,792,3068,3625,7202,1414,2579,3209,64,13,22,29,31,4,11,16,33,9,11,13,1164,275,381,508,535,92,167,277,629,183,214,232,2037,645,674,719,930,240,315,375,1107,405,359,343,183,39,68,75,116,16,46,53,67,24,22,22
"15",7587,917,2165,4505,3889,318,1059,2512,3698,598,1107,1993,2270,210,638,1422,1368,98,368,901,902,112,270,520,85,16,35,34,56,8,22,26,29,8,13,9,37,5,13,19,19,2,6,11,18,3,7,8,4678,586,1313,2779,2204,176,581,1448,2474,409,733,1332,413,73,131,209,186,25,62,99,227,49,68,109,104,27,35,42,56,9,20,27,48,17,16,15
"16",9122,1060,2537,5525,4858,407,1313,3138,4264,652,1225,2387,8393,895,2289,5209,4498,349,1190,2959,3895,546,1099,2249,35,7,13,14,25,4,10,11,10,3,3,3,103,15,33,55,47,6,15,25,57,9,18,30,88,19,27,43,36,6,10,20,52,13,16,23,424,114,146,163,196,38,67,91,227,75,80,72,79,10,29,41,56,4,21,32,23,6,9,10
"17",70160,8438,21925,39798,35024,3143,11120,20761,35136,5295,10804,19037,52791,5407,15785,31599,26677,2041,8027,16609,26114,3366,7758,14990,9245,1098,3443,4704,4458,401,1795,2262,4787,697,1648,2442,118,15,43,60,67,6,22,39,51,9,21,21,2095,424,630,1041,933,127,266,540,1162,297,364,501,5248,1368,1789,2091,2482,50,118,151,2765,108,136,149,663,107,246,310,377,34,155,188,286,73,91,122
"18",34850,3978,11287,19584,17790,1476,5814,10500,17056,2501,5472,9083,30795,3228,9755,17812,15755,1202,5006,9547,15040,2026,4749,8265,2537,364,1006,1167,1295,137,543,615,1242,227,463,552,63,6,29,28,29,1,13,15,34,5,16,13,333,94,116,123,140,29,50,61,193,65,66,62,785,224,262,299,373,82,129,162,412,142,133,137,333,61,118,154,198,25,73,100,135,36,45,54
"19",19197,2095,5673,11430,9971,800,2973,6198,9226,1296,2699,5231,18154,1826,5290,11039,9428,691,2765,5972,8727,1136,2524,5067,418,87,167,165,232,36,100,96,186,51,66,69,42,8,17,18,19,2,8,9,24,6,9,8,162,45,57,60,68,15,23,30,94,30,34,30,289,100,99,90,143,43,49,51,146,57,49,39,132,29,43,58,81,13,28,40,49,16,17,18
"20",15648,1861,4874,8913,8056,695,2509,4852,7593,1166,2365,4061,13502,1418,4091,7993,6962,536,2091,4335,6540,882,2000,3658,740,100,302,338,394,38,178,178,346,62,123,160,191,29,61,101,93,11,22,60,98,18,39,41,197,49,65,83,80,16,26,38,117,33,39,45,678,195,229,254,316,38,55,75,361,89,75,76,340,59,108,173,191,24,66,101,149,35,42,72
"21",27911,3328,9119,15464,14273,1247,4751,8276,13637,2081,4368,7188,25516,2907,8203,14406,13050,1088,4250,7712,12467,1819,3953,6694,1740,243,692,805,864,92,372,400,876,150,321,405,19,4,6,9,10,1,3,5,10,3,3,4,149,44,44,61,59,13,17,28,90,31,27,33,270,95,84,91,132,38,41,53,138,56,44,38,217,35,90,92,158,15,68,78,56,22,20,14
"22",26491,3080,8938,14473,14165,1176,4933,8055,12326,1903,4006,6417,18031,1943,5674,10414,9687,765,3085,5837,8344,1178,2589,4577,7508,922,2947,3639,3991,327,1670,1994,3517,596,1275,1645,62,9,22,31,33,4,11,18,29,5,11,13,258,51,93,115,131,18,55,59,127,33,38,56,544,139,169,237,263,54,88,122,281,85,81,115,88,16,33,37,60,8,24,25,28,6,12,11
"23",9293,861,2780,5652,4764,318,1409,3037,4528,543,1371,2615,9041,814,2688,5539,4633,302,1358,2973,4408,512,1329,2567,46,11,19,16,31,6,13,12,15,6,5,4,46,5,20,21,25,2,12,11,22,3,8,10,40,8,13,20,16,2,5,9,24,6,8,10,38,9,13,16,17,3,6,8,21,6,7,8,82,14,27,40,42,3,15,24,38,10,14,16
"24",32760,3930,10796,18034,16319,1381,5475,9462,16441,2549,5320,8572,21190,2102,6516,12572,10756,753,3312,6691,10434,1349,3203,5882,8992,1164,3427,4401,4407,406,1776,2224,4585,758,1651,2176,53,9,16,27,26,3,9,14,27,6,8,13,1234,262,403,570,541,79,165,297,693,183,237,273,1084,341,367,376,478,124,171,182,606,218,194,194,207,52,67,88,111,16,42,54,96,35,27,34
