"FIPS","AllRace_Total","AllRace_50-","AllRace_50-65","AllRace_65+","AllRace_Male","AllRace_Male_50-","AllRace_Male_50-65","AllRace_Male_65+","AllRace_Female","AllRace_Female_50-","AllRace_Female_50-65","AllRace_Female_65+","W_Total","W_50-","W_50-65","W_65+","W_Male","W_Male_50-","W_Male_50-65","W_Male_65+","W_Female","W_Female_50-","W_Female_50-65","W_Female_65+","B_Total","B_50-","B_50-65","B_65+","B_Male","B_Male_50-","B_Male_50-65","B_Male_65+","B_Female","B_Female_50-","B_Female_50-65","B_Female_65+","I_Total","I_50-","I_50-65","I_65+","I_Male","I_Male_50-","I_Male_50-65","I_Male_65+","I_Female","I_Female_50-","I_Female_50-65","I_Female_65+","A_Total","A_50-","A_50-65","A_65+","A_Male","A_Male_50-","A_Male_50-65","A_Male_65+","A_Female","A_Female_50-","A_Female_50-65","A_Female_65+","H_Total","H_50-","H_50-65","H_65+","H_Male","H_Male_50-","H_Male_50-65","H_Male_65+","H_Female","H_Female_50-","H_Female_50-65","H_Female_65+","O_Total","O_50-","O_50-65","O_65+","O_Male","O_Male_50-","O_Male_50-65","O_Male_65+","O_Female","O_Female_50-","O_Female_50-65","O_Female_65+","state"
"13117",1157,197,353,608,616,75,195,347,541,122,158,261,999,143,303,553,545,56,171,317,454,87,132,236,36,8,15,13,18,3,8,7,18,5,7,6,2,0,0,2,0,0,0,0,2,0,0,2,60,22,16,22,23,6,5,12,37,16,11,10,55,21,17,17,27,9,9,9,28,13,7,8,5,1,4,0,4,0,4,0,1,1,0,0,"13"
"13119",155,16,46,93,81,8,24,50,74,9,21,44,138,13,40,85,72,6,21,45,66,7,19,40,14,3,4,7,7,0,3,4,7,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,2,0,1,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"13"
"13121",4830,761,1583,2486,2453,300,844,1309,2377,461,739,1177,2329,338,713,1279,1227,137,389,701,1102,201,323,578,2152,318,756,1078,1068,124,401,543,1084,194,355,535,6,1,3,2,2,0,1,1,4,1,2,1,149,45,47,57,66,17,19,30,83,28,28,27,173,53,56,63,77,19,27,31,96,34,29,33,21,5,8,8,13,1,6,6,8,4,2,2,"13"
"13123",255,20,70,165,140,7,36,97,115,13,33,68,244,17,66,161,134,6,35,94,110,11,32,67,3,0,3,0,1,0,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,3,4,4,1,1,2,4,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,"13"
"13125",17,2,6,9,9,0,4,4,9,2,2,5,17,2,5,9,8,0,4,4,8,2,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"13"
"13127",541,51,162,328,279,18,83,178,262,33,79,150,423,34,116,273,220,13,60,147,203,21,56,126,99,13,41,45,50,4,21,25,49,9,20,20,2,1,0,1,1,0,0,1,1,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,15,3,4,8,8,1,2,5,7,2,2,3,1,0,1,0,1,0,1,0,0,0,0,0,"13"
"13129",321,39,106,177,163,16,53,94,159,23,53,83,296,33,97,166,150,15,46,88,146,19,50,78,11,2,4,6,6,1,2,3,5,1,2,2,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4,4,4,6,2,2,2,6,2,2,2,1,1,0,0,0,0,0,0,1,1,0,0,"13"
"13131",141,13,47,81,74,6,21,47,66,8,25,34,92,8,27,58,49,4,11,34,43,4,15,24,45,4,19,22,23,1,10,12,22,3,9,10,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,1,0,1,0,1,0,0,1,2,0,1,1,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"13"
"13133",159,9,45,105,87,3,23,62,71,6,22,43,120,5,29,86,67,2,15,50,53,3,14,36,35,3,15,17,19,0,2,10,17,3,4,7,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,2,1,1,0,0,0,0,0,2,1,1,0,1,0,0,1,0,0,0,0,1,0,0,1,"13"
"13135",3834,657,1349,1827,1937,237,696,1004,1897,420,653,824,2182,248,712,1222,1140,93,371,676,1042,155,342,546,873,200,368,305,427,71,199,157,447,129,169,148,6,2,2,2,3,1,1,1,3,1,1,1,377,71,134,172,188,24,60,104,189,47,74,68,374,132,124,118,165,47,57,61,209,85,66,58,22,7,6,8,15,4,5,5,7,3,1,3,"13"
