"DemandID","Demand","SupplyID","Supply","TravelCost","AllFlows","EstFlow","f(d)"
"242",33001,"659",528,180.903636919803,2,200,0.00003055662636505094
"242",33001,"670",155,173.853708000072,3,61,0.00003308507201229747
"242",33001,"683",182,185.5272437645,1,67,0.00002905257390997517
"242",33001,"713",230,269.986111929536,2,58,0.000013718832407863104
"242",33001,"739",1677,198.124478223664,1,580,0.000025475559354121465
"242",33001,"766",198,154.856341956582,1,88,0.00004170057158709337
"242",33001,"842",871,201.914707554133,1,295,0.000024528110352459578
"242",33001,"981",125,118.38859575143,1,72,0.00007134774664218526
"242",33001,"983",214,143.127916375491,1,102,0.00004881477614654797
"243",16287,"16",1018,92.3401328801285,10,355,0.00011727866390764503
"243",16287,"33",52,166.978131695595,1,10,0.0000358658233465167
"243",16287,"149",20,46.5873180154714,1,14,0.0004607491911103117
"243",16287,"153",50,68.8227177223216,2,23,0.00021112339610166893
"243",16287,"204",204,45.0781137358899,2,146,0.0004921171837836192
"243",16287,"213",1013,70.4764656703234,3,463,0.00020133151753174553
"243",16287,"216",1709,68.9559182966059,10,798,0.00021030853938680668
"243",16287,"235",220,154.554264235684,1,46,0.00004186373918368032
"243",16287,"244",128,72.6901041410494,8,57,0.00018925589585491818
"243",16287,"279",684,239.776962640061,2,92,0.000017393424284712718
"243",16287,"292",389,110.613348061325,1,113,0.0000817306446390479
"243",16287,"301",231,86.2556407059429,11,86,0.00013440795985373915
"243",16287,"302",320,84.1292690676742,1,122,0.00014128815976526189
"243",16287,"326",654,111.090883885324,1,190,0.00008102949935012254
"243",16287,"332",307,118.955433015331,1,83,0.00007066940512250099
"243",16287,"347",524,122.549719984705,1,138,0.00006658483892299424
"243",16287,"359",313,118.789937801997,1,85,0.00007086645203402583
"243",16287,"374",788,104.124964583896,1,244,0.00009223383500332555
"243",16287,"405",278,55.0112969531437,13,163,0.0003304427531345481
"243",16287,"406",121,57.3497956279164,13,68,0.00030404386933244874
"243",16287,"408",44,53.2713310958216,1,27,0.0003523813399364666
"243",16287,"420",25,104.264420623976,1,8,0.0000919872702916672
"243",16287,"446",130,20.13694360628,76,208,0.0024661125445209716
"243",16287,"507",280,97.7310807652968,2,92,0.00010469708667260382
"243",16287,"525",122,54.158994394216,5,73,0.00034092497408408487
"243",16287,"534",214,148.937406532286,2,46,0.000045080884216829904
"243",16287,"543",174,76.4807717187367,1,73,0.00017096038100820348
"243",16287,"544",316,30.1944510281665,69,337,0.0010968461721838985
"243",16287,"623",149,260.143218405844,1,18,0.000014776615821899048
"243",16287,"632",142,302.498269709949,1,15,0.000010928340304970592
"243",16287,"720",336,137.458150199682,1,79,0.00005292477368006064
"243",16287,"730",532,212.160221576141,1,81,0.000022216317806605263
"243",16287,"739",1677,273.410427080328,1,197,0.000013377342715362873
"243",16287,"744",472,112.703339604827,2,135,0.000078727494391564
"243",16287,"745",30,115.033479494049,1,8,0.00007557035932644908
"243",16287,"766",198,10.0563109495881,213,634,0.009888322285168954
"243",16287,"768",99,129.597551484215,1,25,0.00005953966780542269
"243",16287,"842",871,288.04646921591,1,97,0.000012052437490320075
"243",16287,"858",792,188.525650025312,1,135,0.000028135789507501426
"243",16287,"971",198,50.993925295473,1,125,0.00038455911813636286
"243",16287,"980",921,14.8691164148438,1498,1994,0.004523032169372984
"243",16287,"981",125,77.8029606002818,5,52,0.00016519912906422953
"244",9109,"1",112,113.3905186586,1,24,0.00007777616344551215
"244",9109,"16",1018,90.9780255781853,20,269,0.00012081670442137414
"244",9109,"104",208,181.253410271941,1,28,0.000030438806996592044
"244",9109,"213",1013,115.027415002164,3,212,0.00007557832799917014
"244",9109,"216",1709,113.506867628447,3,362,0.00007761679795856077
"244",9109,"244",128,8.8751347105511,830,347,0.012695508267233788
"244",9109,"292",389,82.5051194070116,2,113,0.00014690555073819733
"244",9109,"293",122,80.1122399698073,2,37,0.0001558124835857483
"244",9109,"297",157,87.9125349153443,2,43,0.00012938930919454238
"244",9109,"301",231,90.0535948838982,13,62,0.00012330988464072726
"244",9109,"302",320,87.9413580728475,1,88,0.00012930450729120487
"244",9109,"303",942,88.609302049496,3,256,0.0001273624393649686
"244",9109,"304",200,84.5149941710694,1,57,0.00014000142891542927
"244",9109,"326",654,101.634298733539,11,155,0.00009680981944565977
"244",9109,"330",507,100.75692840619,2,121,0.0000985031595623047
"244",9109,"332",307,109.498325318328,1,67,0.00008340364783828473
"244",9109,"338",91,45.6768870506034,1,48,0.00047929953004630576
"244",9109,"341",110,99.651594734766,1,27,0.00010070046910775405
"244",9109,"347",524,110.619437845979,2,114,0.00008172164606999058
"244",9109,"386",194,224.525511866407,1,21,0.00001983666274528675
"244",9109,"405",278,90.7583354554777,5,74,0.00012140231147614344
"244",9109,"406",121,93.0968341302504,7,31,0.00011537990444405427
