"GbCode","CityName","lat","lon","GbProv","UA_Full","UA"
"210400","Fushun",41.88596959305694,123.9643746156145,"21","South Central Liaoning","SCL"
"210500","Benxi",41.49291646055291,123.69250712420832,"21","South Central Liaoning","SCL"
"210600","Dandong",40.00640870559368,124.36154728159079,"21","South Central Liaoning","SCL"
"210700","Jinzhou",41.10093149946208,121.13259630055518,"21","NA","NA"
"210800","Yingkou",40.63070304275062,122.22579880279181,"21","South Central Liaoning","SCL"
"210900","Fuxin",42.02802190131842,121.67640799865809,"21","NA","NA"
"211000","Liaoyang",41.27416129045421,123.24336640651318,"21","South Central Liaoning","SCL"
"211100","Panjin",40.72579099974712,122.1771181899173,"21","South Central Liaoning","SCL"
"211200","Tieling",42.22994799718447,123.73236520917769,"21","NA","NA"
"211300","Chaoyang",41.57982086475567,120.45749949793277,"21","NA","NA"
"211400","Huludao",40.71736443636189,120.8433983399283,"21","NA","NA"
"220100","Changchun",43.82195350104314,125.3306020759069,"22","Harbin-Changchun","HC"
"220200","Jilin",43.84356783457924,126.55563450495482,"22","Harbin-Changchun","HC"
"220300","Siping",43.171993571561,124.35648155715893,"22","Harbin-Changchun","HC"
"220400","Liaoyuan",42.89405500574631,125.15042516688747,"22","Harbin-Changchun","HC"
"220500","Tonghua",41.733815801613424,125.94660627598029,"22","NA","NA"
"220600","Baishan",41.94988401959104,126.42108639550088,"22","NA","NA"
"220700","Songyuan",45.14740419341382,124.83148187569292,"22","Harbin-Changchun","HC"
"220800","Baicheng",45.62550435999602,122.8455906084976,"22","NA","NA"
"222400","Yanbian",42.91574303372181,129.4773763202274,"22","Harbin-Changchun","HC"
"230100","Harbin",45.808825827952184,126.54161509031663,"23","Harbin-Changchun","HC"
"230200","Qiqihar",47.3599771860153,123.92457086841536,"23","Harbin-Changchun","HC"
"230300","Jixi",45.300872317823895,130.97561865876668,"23","NA","NA"
"230400","Hegang",47.35605615768509,130.3044328986694,"23","NA","NA"
